,M,%NecONG,%NecRO,%NecRA,%VolONG,%VolRO,%VolRA,SuONG,SuRO,VisONG,VisRO,VisRA,Dis,Dias,Camp,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,%Comp
10,2,0.6900000000000001,0.6892680736,0.5950413223000001,0.5454545455,0.6153846154,0.5416666667,0,1,0.0,3.25,1.0,1.1594534489,-627,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7260273973
11,2,0.5700000000000001,0.5700000000000001,0.6526315789,0.5,0.5,0.6428571429000001,0,0,0.0,0.0,0.2727272727,1.1594534489,-622,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5957446809
12,2,0.6344827586,0.6344827586,0.7921440262,0.7307692308,0.7307692308,0.7222222222,0,0,0.2,0.2,1.375,1.1594534489,-608,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8157894737
13,2,0.65,0.65,0.6526315789,0.75,0.75,0.6428571429000001,0,0,0.0,0.0,0.2727272727,1.1594534489,-607,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5909090909
14,3,0.6833333333,0.6305732484000001,0.6526315789,0.8333333333,0.6666666667000001,0.6428571429000001,0,3,0.0,1.1428571429,0.2727272727,1.1594534489,-602,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.65625
15,3,0.5972222222,0.6133333333000001,0.6299212598,0.4705882353,0.4761904762,0.3870967742,0,0,0.0,0.5,0.4,1.1594534489,-591,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.7083333333
16,3,0.6344827586,0.6344827586,0.7921440262,0.7307692308,0.7307692308,0.7222222222,0,0,0.2,0.2,1.375,1.1594534489,-584,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.5
17,3,0.6916666667,0.6916666667,0.5466666667,0.4666666667,0.4666666667,0.46428571430000004,0,0,0.0,0.0,0.0,1.1594534489,-580,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5757575758
18,4,0.6842105263,0.6842105263,0.6842105263,0.4666666667,0.4666666667,0.4666666667,0,0,0.0,0.0,0.0,1.1594534489,-206,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48484848480000003
19,4,0.8224299065,0.8224299065,0.5,0.37037037040000004,0.37037037040000004,0.75,0,0,0.0,0.0,0.0,1.1594534489,-560,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5384615385
