,userId,eventoId,rating
0,14,50,11
1,14,52,11
10,14,51,11
100,27,13,5
101,27,15,5
102,27,14,5
103,27,34,10
104,27,16,10
105,27,35,10
106,27,36,10
107,27,37,10
108,27,39,5
109,33,18,1
11,14,53,11
110,28,38,10
12,12,50,11
13,12,54,6
14,12,29,10
15,12,30,10
16,12,5,10
17,12,40,12
18,12,41,15
19,12,49,12
2,14,54,11
20,12,51,11
21,13,5,10
22,25,18,10
23,25,17,5
24,25,19,10
25,25,20,10
26,25,21,10
27,25,22,5
28,25,25,10
29,25,24,5
3,14,29,10
30,25,23,10
31,25,8,10
32,25,26,5
33,25,27,10
34,25,28,10
35,25,11,10
36,25,31,10
37,25,10,10
38,25,9,10
39,25,4,10
4,14,30,10
40,25,7,10
41,25,12,10
42,25,32,5
43,25,33,10
44,25,13,5
45,25,15,10
46,25,14,10
47,25,34,10
48,25,16,10
49,25,35,10
5,14,5,11
50,25,36,10
51,25,37,10
52,25,39,10
53,26,17,5
54,26,19,10
55,26,20,10
56,26,21,10
57,26,22,10
58,26,25,10
59,26,24,10
6,14,38,5
60,26,23,10
61,26,26,10
62,26,27,10
63,26,28,10
64,26,11,5
65,26,31,5
66,26,10,5
67,26,9,10
68,26,7,5
69,26,12,10
7,14,40,8
70,26,32,10
71,26,33,10
72,26,13,5
73,26,15,5
74,26,14,5
75,26,34,10
76,26,16,5
77,26,35,5
78,26,36,10
79,26,37,10
8,14,41,12
80,26,39,10
81,27,18,10
82,27,19,10
83,27,20,10
84,27,21,5
85,27,22,5
86,27,25,10
87,27,23,10
88,27,8,5
89,27,26,10
9,14,49,11
90,27,27,10
91,27,28,5
92,27,11,10
93,27,31,5
94,27,10,5
95,27,9,5
96,27,7,10
97,27,12,5
98,27,32,5
99,27,33,10
